Ubicazione;Data_avvio_primo_Proc;TipoVia;DescrizioneVia;Civico;Bar;CodiceVia;ZD;durata_attivita_tipo;insegna;numero_addetti;posto_speciale_cf;attivita_prevalente;settore_merceologico;settore_storico_n;settore_storico_preval;settore_storico_s;superficie_vendita
VIA SANTA RADEGONDA N. 3 11 piani (10 f.t. e 1 int.),via santa radegonda 003, isolato:417, accesso: accesso esterno, (z.d. 1);07/10/1991;VIA ;SANTA RADEGONDA;3;;208;1;Permanente;la rinascente s.p.a.;;;;;;grande magazzino senza alimen.;viii;22145
PZA SAN BABILA N. 5 ,pza san babila 005, isolato:261, accesso: accesso esterno, (z.d. 1);08/07/1994;PZA ;SAN BABILA;5;;216;1;;maxmara;;;;non alimentare;;grande magazzino senza alimen.;settore non alimentare;1039
VIA SPADARI N. 2 ,via spadari 002, isolato:438, accesso: accesso esterno, (z.d. 1);23/06/1994;VIA ;SPADARI;2;;518;1;;upim;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grande magazzino
";grande magazzino senza alimen.;settore alimentare/non aliment;1652
VIA DELLA PALLA N. 2 ,via torino 047, isolato:427, accesso: accesso esterno, (z.d. 1);08/01/1999;VIA ;DELLA PALLA;2;;586;1;;fnac e standa superfresco;;;;alimentare,non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";grande magazz. con alimentari;settore alimentare/non aliment;4720
FOR BUONAPARTE N. 74 ,for buonaparte 074, isolato:240, accesso: accesso esterno, (z.d. 1);08/01/1999;FOR ;BUONAPARTE;74;;711;1;;decathlon;;;;alimentare,non alimentare;;articoli sportivi;settore alimentare/non aliment;2850
VLE PAPINIANO N. 27 , isolato:064, accesso: accesso esterno, (z.d. 1);31/07/1990;VLE ;PAPINIANO;27;;5097;1;;esselunga;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;1400
PLE CANTORE ANTONIO N. 12 , isolato:040, accesso: accesso esterno, (z.d. 6);01/01/1988;PLE ;CANTORE ANTONIO;12;;5103;6;;coin;;;;alimentare,non alimentare;;grande magazzino senza alimen.;settore alimentare/non aliment;3470
PZA CINQUE GIORNATE num.001/a, isolato:032, accesso: accesso esterno,;02/03/1990;PZA;CINQUE GIORNATE;1;A;3053;1;;coin;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grandi magazzini 
";grande magazzino senza alimen.;settore alimentare/non aliment;6538
VLE STELVIO N. 47 aff. az. tacit. rinnov., isolato:204, accesso: accesso esterno, (z.d. 9);19/02/1993;VLE ;STELVIO;47;;1227;9;Permanente;punto sma;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente:vendita al dettaglio di generi alimentari e non 
";supermercato alimentare;settore alimentare/non aliment;700
VIA FARINI CARLO N. 77 , isolato:153, accesso: accesso esterno, (z.d. 9);10/09/1993;VIA ;FARINI CARLO;77;;1114;9;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: supermercato 
";supermercato alimentare;settore alimentare/non aliment;1580
VLE ZARA N. 123 , isolato:082, accesso: accesso esterno, (z.d. 9);31/07/1990;VLE ;ZARA;123;;1170;9;;esselunga;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;1700
VIA FARINI CARLO N. 79 , isolato:153, accesso: accesso esterno, (z.d. 9);08/07/1994;VIA ;FARINI CARLO;79;;1114;9;;OVS;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grandi magazzini
";grande magazzino con alimen.;settore alimentare/non aliment;3643
VIA MELZO N. 36 , isolato:140, accesso: accesso esterno, (z.d. 3);01/10/1998;VIA ;MELZO;36;;2184;3;;guess;;;;non alimentare;;abbigliamento;settore non alimentare;320
CSO BUENOS AIRES N. 35 , isolato:059, accesso: accesso esterno, (z.d. 3);08/01/1999;CSO ;BUENOS AIRES;35;;2129;3;;oviesse;;;;alimentare,non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";grande magazzino senza alimen.;settore alimentare/non aliment;3100
VIA BERGAMO N. 10 , isolato:112, accesso: accesso esterno, (z.d. 4);31/07/1990;VIA ;BERGAMO;10;;3189;4;;GS;;;;alimentare,non alimentare;"supermercato 
";supermercato alimentare;settore alimentare/non aliment;1200
VLE BIANCA MARIA N. 28 , isolato:009, accesso: accesso esterno, (z.d. 1);16/08/1994;VLE ;BIANCA MARIA;28;;3050;1;;unes;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: vendita di alimentari e non 
";supermercato alimentare;settore alimentare/non aliment;900
VIA AMMIANO MARCELLINO num.014, isolato:122, accesso: accesso esterno, (z.d. 4);02/01/1990;VIA ;AMMIANO MARCELLINO;14;;4101;4;;sma supermercati alimenta;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato
,(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato
";supermercato alimentare;settore alimentare/non aliment,settore alimentare/non aliment;600
VIA MURATORI LODOVICO N. 27 , isolato:166, accesso: accesso esterno, (z.d. 4);16/08/1994;VIA ;MURATORI LODOVICO;27;;4076;4;;unes;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;600
VIA MANCINI LODOVICO N. 2 , isolato:035, accesso: accesso esterno, (z.d. 4);08/07/1994;VIA ;MANCINI LODOVICO;2;;3082;4;;OVS;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grandi magazzini
";grande magazzino;settore alimentare/non aliment;1854
VLE CASSALA N. 22 , isolato:154, accesso: accesso esterno, (z.d. 6);31/07/1990;VLE ;CASSALA;22;;5275;6;;esselunga;;;;alimentare,non alimentare;;supermercato alimentare;settore alimentare/non aliment;1191
VLE BELISARIO N. 3 , isolato:165, accesso: accesso esterno, (z.d. 8);16/08/1994;VLE ;BELISARIO;3;;6360;8;;unes;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;650
PLE CHIESA DAMIANO N. 2 , isolato:039, accesso: accesso esterno, (z.d. 8);16/08/1994;PLE ;CHIESA DAMIANO;2;;7164;8;;unes;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;650
VIA BUONARROTI MICHELANGELO N. 11 aff. az. tacit. rinnov., isolato:194, accesso: accesso esterno, (z.d. 7);19/02/1993;VIA ;BUONARROTI MICHELANGELO;11;;6253;7;;punto sma;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;400
VIA CUNEO N. 2 , isolato:214, accesso: accesso esterno, (z.d. 7);08/07/1994;VIA ;CUNEO;2;;6281;7;;upim;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grandi magazzini
";grande magazzino senza alimen.;settore alimentare/non aliment;2585
CSO VERCELLI num.030, isolato:216, accesso: accesso esterno, (z.d. 7);01/01/1988;CSO ;VERCELLI;30;;6193;7;;coin;;;;alimentare,non alimentare;;grande magazzino senza alimen.;settore alimentare/non aliment;3500
PZA DIOCLEZIANO num.004, isolato:013, accesso: accesso esterno, (z.d. 8);07/01/1999;PZA ;DIOCLEZIANO;4;;7220;8;;;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita settore alimentare 
";supermercato alimentare;settore alimentare/non aliment;915
CSO VERCELLI N. 8 , isolato:217, accesso: accesso esterno, (z.d. 7);08/01/1999;CSO ;VERCELLI;8;;6193;7;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specificodiploma) affittanza d'azienda a tempo indeterminato 
";abbigliamento;settore non alimentare;2228
VIA SARPI FRA' PAOLO N. 33 , isolato:113, accesso: accesso esterno, (z.d. 1);08/01/1999;VIA ;SARPI FRA' PAOLO;33;;7210;1;;carrefour;;;;alimentare,non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";grande magazz. con alimentari;settore alimentare/non aliment;2442
VIA TARTINI GIUSEPPE aff. az. tacit. rinnov. num.003/a, isolato:057, accesso: accesso esterno, (z.d. 9);19/02/1993;VIA;TARTINI GIUSEPPE;3;A;1501;9;;punto sma;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;505
VIA ASTESANI ALESSANDRO N. 46 , isolato:052, accesso: accesso esterno, (z.d. 9);02/01/1990;VIA ;ASTESANI ALESSANDRO;46;;1558;9;;sma supermercati alimenta;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;705
PZA BRUZZANO N. 5 aff. az. tacit. rinnov., isolato:042, accesso: accesso esterno, (z.d. 9);19/02/1993;PZA ;BRUZZANO;5;;1655;9;;punto sma;;;;alimentare,non alimentare;;supermercato alimentare;settore alimentare/non aliment;380
VIA ORNATO LUIGI N. 28 , isolato:070, accesso: accesso esterno, (z.d. 9);09/01/2001;VIA ;ORNATO LUIGI;28;;1591;9;;coop;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente:supermercato 
";supermercato alimentare;settore alimentare/non aliment;1200
VLE TESTI FULVIO N. 90 ang. santa marcellina n. 8, isolato:145, accesso: accesso esterno, (z.d. 9);30/08/1995;VLE ;TESTI FULVIO;90;;1441;9;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: alimentare /non alimentare 
";supermercato alimentare;settore alimentare/non aliment;1008
VLE MONZA N. 134 , isolato:178, accesso: area ap.rec., (z.d. 2);30/08/1995;VLE ;MONZA;134;;2274;2;;gs;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: alimentare /non alimentare 
";supermercato alimentare;settore alimentare/non aliment;1300
VIA PADOVA num.200, isolato:230, accesso: accesso esterno,;05/03/1997;VIA;PADOVA;200;;2275;2;Permanente;carrefour;;;;Non Alimentare;;grande magazzino senza alimen.;settore alimentare/non aliment;1620
VIA VENINI GIULIO E CORRADO N. 50 , isolato:330, accesso: accesso esterno, (z.d. 2);02/01/1990;VIA ;VENINI GIULIO E CORRADO;50;;2258;2;;sma supermercati alimenta;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;930
PLE LORETO N. 5 , isolato:357, accesso: accesso esterno, (z.d. 2);08/07/1994;PLE ;LORETO;5;;2264;2;;OVS;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grandi magazzini
";grande magazzino con alimentari;settore alimentare/non aliment;2416
VIA PALMANOVA N. 65 , isolato:287, accesso: accesso esterno, (z.d. 2);07/01/1999;VIA ;PALMANOVA;65;;2390;2;Permanente;standa superfresco;;;;Alimentare,Non Alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita settore alimentare 
";supermercato alimentare;settore alimentare/non aliment;2499
VIA PADOVA N. 224 , isolato:232, accesso: accesso esterno, (z.d. 2);02/01/1990;VIA ;PADOVA;224;;2275;2;;sma supermercati;;;;alimentare,non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";supermercato alimentare;settore alimentare/non aliment;1120
VLE ABRUZZI num.010, accesso: accesso esterno, (z.d. 3);06/07/1989;VLE ;ABRUZZI;10;;2177;3;;gs;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente alimentare /non alimentare 
";supermercato alimentare;settore alimentare/non aliment;800
VIA SPINOZA BENEDETTO N. 4 , isolato:098, accesso: accesso esterno, (z.d. 3);17/07/1991;VIA ;SPINOZA BENEDETTO;4;;2205;3;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: alimentare / non alimentare 
";supermercato alimentare;settore alimentare/non aliment;957
VIA CICOGNARA LEOPOLDO N. 2 , isolato:183, accesso: accesso esterno, (z.d. 3);07/01/1999;VIA ;CICOGNARA LEOPOLDO;2;;3106;3;;;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specificodiploma) attivita'prevalente vendita settore alimentare 
";supermercato alimentare e non alimentare;settore alimentare/non aliment;2469
VIA LOMELLINA N. 1 , isolato:255, accesso: accesso esterno, (z.d. 4);02/01/1990;VIA ;LOMELLINA;1;;3280;4;Permanente;sma supermercati;;;;Non Alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
 (con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato
";supermercato;settore alimentare/non aliment;794
VIA DURAZZO N. 5 , isolato:067, accesso: accesso esterno, (z.d. 3);16/08/1994;VIA ;DURAZZO;5;;2658;3;;unes;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;932
VLE UNGHERIA N. 12 , isolato:108, accesso: accesso esterno, (z.d. 4);31/07/1990;VLE ;UNGHERIA;12;;3357;4;;;;;;alimentare,non alimentare;"supermercato 
";supermercato alimentare e non alimentare;settore alimentare/non aliment;890
CSO LODI N. 130 , isolato:055, accesso: accesso esterno, (z.d. 4);02/01/1990;CSO ;LODI;130;;4068;4;;sma supermercati alimenta;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;862
CSO LODI num.098, accesso: accesso esterno, (z.d. 4);19/07/1990;CSO;LODI;98;;4068;4;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente:alimentare/non alimentare 
";supermercato alimentare;settore alimentare/non aliment;2100
PZA ANGILBERTO II N. 9 , isolato:121, accesso: accesso esterno, (z.d. 5);13/09/1995;PZA ;ANGILBERTO II;9;;4278;5;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: alimentare / non alimentare 
";supermercato alimentare;settore alimentare/non aliment;950
VIA POLESINE N. 39 , isolato:055, accesso: accesso esterno, (z.d. 4);08/07/1994;VIA ;POLESINE;39;;4159;4;;upim;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grande magazzino 
";grande magazzino senza alimen.;settore alimentare/non aliment;2637
VIA DEI MISSAGLIA via dei missaglia n. 26 (z.d. 5);07/01/1999;VIA;DEI MISSAGLIA;26;;5340;5;;standa superfresco;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita settore alimentare 
";supermercato alimentare;settore alimentare/non aliment;3213
VLE FAMAGOSTA N. 16 , isolato:076, accesso: accesso esterno, (z.d. 6);13/09/1995;VLE ;FAMAGOSTA;16;;5353;6;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: alimentare /non alimentare 
";supermercato alimentare;settore alimentare/non aliment;980
PLE SIENA N. 18 , isolato:199, accesso: accesso esterno, (z.d. 7);13/09/1995;PLE ;SIENA;18;;6616;7;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente:alimentare /non alimentare 
";supermercato alimentare;settore alimentare/non aliment;1040
VIA SODERINI LUIGI N. 48 , isolato:070, accesso: accesso esterno, (z.d. 6);13/09/1995;VIA ;SODERINI LUIGI;48;;6675;6;;carrefour;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: alimentare/ non alimentare 
";supermercato alimentare;settore alimentare/non aliment;1308
VIA TRIVULZIO ANTONIO TOLOMEO N. 12 , isolato:007, accesso: accesso esterno, (z.d. 7);08/01/1999;VIA ;TRIVULZIO ANTONIO TOLOMEO;12;;6277;7;;iperstanda;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente:vendita settore alimentare 
";supermercato alimentare;settore alimentare/non aliment;3200
PZA FRATTINI PIETRO N. 4 , isolato:124, accesso: accesso esterno, (z.d. 6);23/09/1994;PZA ;FRATTINI PIETRO;4;;5389;6;;sma supermercati alimenta;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";supermercato alimentare;settore alimentare/non aliment;3010
VIA ORSINI VINCENZO GIORDANO N. 2 , isolato:207, accesso: accesso esterno, (z.d. 7);21/11/1998;VIA ;ORSINI VINCENZO GIORDANO;2;;6648;7;;io brico;;;;alimentare,non alimentare;"con esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma 
";bricolage;settore alimentare/non aliment;1691
VIA RISMONDO FRANCESCO num.008, isolato:138, accesso: area ap.rec., (z.d. 7);13/09/1995;VIA ;RISMONDO FRANCESCO;8;;6756;7;;gs;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: alimentare /non alimentare 
";supermercato alimentare;settore alimentare/non aliment;939
VIA DELLE BETULLE num.012, isolato:240, accesso: accesso esterno, (z.d. 7);14/04/1993;VIA ;DELLE BETULLE;12;;6828;7;;in s mercato;;;;;;discount alimentare;viii;620
VLE PISA N. 10 aff. az. tacit. rinnov., isolato:200, accesso: accesso esterno, (z.d. 7);19/02/1993;VLE ;PISA;10;;6615;7;;punto sma;;;;alimentare,non alimentare;"con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente alimentare 
";supermercato alimentare;settore alimentare/non aliment;270
VIA DELLE FORZE ARMATE N. 199 , isolato:181, accesso: accesso esterno, (z.d. 7);31/07/1990;VIA ;DELLE FORZE ARMATE;199;;6643;7;;esselunga;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente supermercato 
";supermercato alimentare;settore alimentare/non aliment;1400
VIA MORGANTINI MARIO N. 15 , isolato:280, accesso: accesso esterno, (z.d. 7);31/07/1990;VIA ;MORGANTINI MARIO;15;;6568;7;;esselunga;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: supermercato 
";supermercato alimentare;settore alimentare/non aliment;1060
VIA DOMENICHINO N. 2 , isolato:227, accesso: accesso esterno, (z.d. 7);31/07/1990;VIA ;DOMENICHINO;2;;6383;7;;esselunga;;;;;;supermercato alimentare;viii;795
VIA URUGUAY N. 6 , isolato:062, accesso: accesso esterno, (z.d. 8);07/01/1999;VIA ;URUGUAY;6;;7495;8;;;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma) attivita' prevalente: vendita settore alimentare 
";supermercato alimentare e non alimentare;settore alimentare/non aliment;880
VLE CERTOSA N. 29 , isolato:330, accesso: accesso esterno, (z.d. 8);12/07/1996;VLE ;CERTOSA;29;;7174;8;Permanente;la rinascente s.p.a.;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grandi magazzini 
";grande magazzino senza alimen.;settore alimentare/non aliment;6350
VIA MASOLINO DA PANICALE N. 7 , isolato:300, accesso: accesso esterno, (z.d. 8);08/07/1994;VIA ;MASOLINO DA PANICALE;7;;7264;8;;upim sma;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: grandi magazzini
";grande magazz. con alimentari;settore alimentare/non aliment;1819
VLE CERTOSA N. 59 , isolato:315, accesso: accesso esterno, (z.d. 8);31/07/1990;VLE ;CERTOSA;59;;7174;8;;esselunga vle certosa;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specificodiploma) 
";supermercato alimentare;settore alimentare/non aliment;1144
VIA MAC MAHON N. 128 , isolato:269, accesso: accesso esterno, (z.d. 8);31/07/1990;VIA ;MAC MAHON;128;;7221;8;;esselunga;;;;alimentare,non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente:supermercato 
";supermercato alimentare;settore alimentare/non aliment;1200
VIA F.LLI ANTONA TRAVERSI N. 18 , isolato:061, accesso: accesso esterno, (z.d. 8);08/07/1994;VIA ;F.LLI ANTONA TRAVERSI;18;;7354;8;;sma;;;;non alimentare,alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: supermercato 
";supermercato alimentare;settore alimentare/non aliment;2272
VIA MONTE NAPOLEONE N. 5 ,via monte napoleone 005, isolato:315, accesso: accesso esterno, (z.d. 1);16/09/1988;VIA ;MONTE NAPOLEONE;5;;219;1;;gucci;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: abbigliamento - profumeria - accessori 
";boutique;settore non alimentare;1482
VIA MAGISTRETTI PIETRO num.007, accesso: accesso esterno, (z.d. 2);24/05/1991;VIA ;MAGISTRETTI PIETRO;7;;2466;2;;carrefour;;;;alimentare,non alimentare;"con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma attivit… prevalente: vendita aldettaglio generi alimentari 
";supermercato alimentare;settore alimentare/non aliment;380
CSO VENEZIA N. 29 ,cso venezia 029, isolato:186, accesso: accesso esterno, (z.d. 1);01/01/1989;CSO ;VENEZIA;29;;238;1;;renco di macri roberto;;;;non alimentare;;abbigliamento;x,ix;260
VLE MONZA num.065/67, isolato:322, accesso: accesso esterno, (z.d. 2);01/01/2000;VLE;MONZA;65;67;2274;2;;;;;;non alimentare;;autoveicoli;xiv sub 10;590
VIA GIOVANNI DA UDINE N. 3 , isolato:220, accesso: accesso esterno, (z.d. 8);04/10/1989;VIA ;GIOVANNI DA UDINE;3;;7408;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";autoveicoli;settore non alimentare;530
VIA GAMBOLOITA N. 4 , isolato:052, accesso: accesso esterno, (z.d. 4);04/07/1996;VIA ;GAMBOLOITA;4;;4160;4;;concessionari ricamb.fiat;;;;non alimentare;;accessori e ricambi auto-moto;settore non alimentare;305
PLE LORETO num.016, isolato:357, accesso: accesso esterno, (z.d. 3);01/01/1988;PLE ;LORETO;16;;2264;2;;coin;;;;alimentare,non alimentare;;grande magazzino senza alimen.;settore alimentare/non aliment;1910
VIA NERINO N. 12 ,via nerino 012, isolato:349, accesso: accesso esterno, (z.d. 1);01/01/2000;VIA ;NERINO;12;;564;1;;;;;;non alimentare;;tappeti;xiv sub 34;362
VIA GUINIZELLI GUIDO N. 22 , isolato:348, accesso: accesso esterno, (z.d. 2);12/03/1999;VIA ;GUINIZELLI GUIDO;22;;2281;2;;gold market;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";gioielleria - orologeria;settore non alimentare;480
VLE MONZA N. 2 , isolato:352, accesso: accesso esterno, (z.d. 2);19/07/2003;VLE ;MONZA;2;;2274;2;;marionnaud parfumeries;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: vendita cosmetici ed articoli di profumeria
";profumeria;settore non alimentare;344
VIA MERULA GIORGIO num.009/3, isolato:035, accesso: accesso interno, (z.d. 6);05/04/1993;VIA;MERULA GIORGIO;9;3;5363;6;;;;;;non alimentare;;mobili;xiv-fiori, piante, sementi,xii sub 3,xiv-fiori, piante, sementi,xii sub 1;523
VIA STRIGELLI GAETANO num.013/int, isolato:078, accesso: accesso esterno, (z.d. 4);25/02/2000;VIA ;STRIGELLI GAETANO;13;;3214;4;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) attivita' prevalente: stoffe per arredamento 
";articoli tessili per arredamen;settore non alimentare;270
VIA ALDINI ANTONIO num.028/b, isolato:097, accesso: accesso esterno, (z.d. 8);25/01/1994;VIA ;ALDINI ANTONIO;28;B;7461;8;;;;;;non alimentare;;mobili;xii sub 1;276
CSO MONFORTE N. 19 ,via santa cecilia 000, isolato:190, accesso: accesso esterno, (z.d. 1);03/10/1994;CSO ;MONFORTE;19;;348;1;;artemide;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: articoli di illuminazione 
";lampadari;settore non alimentare;320
VIA SIRTORI GIUSEPPE N. 26 , isolato:145, accesso: accesso interno, (z.d. 3);22/12/1994;VIA ;SIRTORI GIUSEPPE;26;;2180;3;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";abbigliamento;settore non alimentare;1530
VLE MONZA N. 113 , isolato:293, accesso: accesso esterno, (z.d. 2);01/01/1988;VLE ;MONZA;113;;2274;2;;;;;;non alimentare;;tappezzerie e moquettes;xiv-colori e vernici,xiv sub 16,x;455
PLE CHIESA DAMIANO N. 2 , isolato:039, accesso: accesso esterno, (z.d. 8);01/09/2004;PLE ;CHIESA DAMIANO;2;;7164;8;;;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) 
";arredamenti;settore non alimentare;2277
VIA VENINI GIULIO E CORRADO N. 87 , isolato:320, accesso: accesso esterno, (z.d. 2);01/01/1989;VIA ;VENINI GIULIO E CORRADO;87;;2258;2;;;;;;non alimentare;;autoveicoli;xiv sub 10;270
VLE TESTI FULVIO N. 22 , isolato:156, accesso: accesso esterno, (z.d. 9);14/09/2000;VLE ;TESTI FULVIO;22;;1441;9;;opel gerli;;;;non alimentare;"(con l'esclusione dei prodotti per i quali e' previsto per legge uno specifico diploma) 
";autoveicoli;settore non alimentare;1440
VIA CAPECELATRO ALFONSO N. 9 , isolato:278, accesso: accesso esterno, (z.d. 7);01/01/1988;VIA ;CAPECELATRO ALFONSO;9;;6575;7;;mercato dell usato;;;;non alimentare;"con l'esclusione dei prodotti per i quali Š previsto per legge uno specifico diploma attivita'prevalente: mobili e articoli per l'arredamento, casalinghi, elettrodomestici 
";cose usate senza pregio,rigat.;settore non alimentare;255
CSO VITTORIO EMANUELE II N. 30 ,cso vittorio emanuele ii 030, isolato:360, accesso: accesso esterno, (z.d. 1);13/06/1998;CSO ;VITTORIO EMANUELE II;30;;214;1;Permanente;liu.jo;;;;Non Alimentare;"(con l'esclusione dei prodotti per i quali e' previsto uno specifico diploma) attivita' prevalente: calzature, pelletteria, maglieria, abbigliamento, prodotti tessili, borse e accessori d'abbigliamento 
";abbigliamento donna;settore non alimentare;417
